"fecha","t","t1","Res_t1","par","hurst_30","hurst_60","hurst_90","hurst_120","num_veces","dur_media"
"20051",-2.20741064214677,-2.58,"ko","CLB_BOOM",NA,NA,NA,NA,0,0
"20052",-2.91412914104974,-2.58,"ok","CLB_BOOM","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",0,0
"20061",-0.944599668988068,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",8,8.85714285714286
"20062",-2.28410455123981,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",8,17.375
"20071",-3.01739186412599,-2.58,"ok","CLB_BOOM","0.576497078074365","0.52507910886314","0.52507910886314","0.52507910886314",6,19.6666666666667
"20072",-1.45604625931847,-2.58,"ko","CLB_BOOM","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",5,30
"20081",-3.81953362084513,-2.58,"ok","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",3,26
"20082",-2.48967009452462,-2.58,"ko","CLB_BOOM","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",1,80
"20091",-2.21583304363683,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52507910886314","0.52507910886314","0.52507910886314",2,116.5
"20092",-2.00814844291504,-2.58,"ko","CLB_BOOM","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",1,66
"20101",-1.39375340585823,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52507910886314","0.52507910886314","0.52507910886314",4,30.25
"20102",-2.1233883528043,-2.58,"ko","CLB_BOOM","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",10,18.2
"20111",-0.727593678914616,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",2,63
"20112",-1.98679886085754,-2.58,"ko","CLB_BOOM","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",10,12.1
"20121",-1.52873373990538,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",7,21.7142857142857
"20122",-2.36441267693825,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",0,0
"20131",-1.60193648662479,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52507910886314","0.52507910886314","0.52507910886314",1,133
"20132",-0.859739301951422,-2.58,"ko","CLB_BOOM","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",6,33.3333333333333
"20141",-2.05276045300866,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52507910886314","0.52507910886314","0.52507910886314",7,19.8571428571429
"20142",-3.21381974885019,-2.58,"ok","CLB_BOOM","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",0,0
"20151",-2.38423143323701,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52507910886314","0.52507910886314","0.52507910886314",1,165
"20152",-3.50136304592348,-2.58,"ok","CLB_BOOM","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",1,124
"20161",-2.32732537559796,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",5,31.2
"20162",-2.83826215852469,-2.58,"ok","CLB_BOOM","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",1,97
"20171",-1.83361632345089,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",6,37.3333333333333
"20172",-2.67703901967227,-2.58,"ok","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",6,7.16666666666667
"20181",-2.49905329064404,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",3,78.3333333333333
"20182",-1.23481383266286,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",3,22.3333333333333
"20191",-1.27241404048834,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52507910886314","0.52507910886314","0.52507910886314",2,47.5
"20192",-2.25436202437309,-2.58,"ko","CLB_BOOM","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",4,54
"20201",-2.04554576323609,-2.58,"ko","CLB_BOOM","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",8,14.25
