"fecha","t","t1","Res_t1","par","hurst_30","hurst_60","hurst_90","hurst_120","num_veces","dur_media"
"20051",-2.40502739345284,-2.58,"ko","AVD_ATI",NA,NA,NA,NA,0,0
"20052",-2.33992656134651,-2.58,"ko","AVD_ATI","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",1,0
"20061",-0.998297081047359,-2.58,"ko","AVD_ATI","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",8,5.875
"20062",-3.30214738195941,-2.58,"ok","AVD_ATI","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",16,12.75
"20071",-2.19830466392601,-2.58,"ko","AVD_ATI","0.576497078074365","0.52507910886314","0.52507910886314","0.52507910886314",4,22
"20072",-1.57838328412578,-2.58,"ko","AVD_ATI","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",13,12.2307692307692
"20081",-2.15994084203672,-2.58,"ko","AVD_ATI","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",15,6.53333333333333
"20082",-2.63105611335877,-2.58,"ok","AVD_ATI","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",6,26.6666666666667
"20091",-2.40017940272353,-2.58,"ko","AVD_ATI","0.576497078074365","0.52507910886314","0.52507910886314","0.52507910886314",12,6.33333333333333
"20092",-2.34697845223281,-2.58,"ko","AVD_ATI","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",3,55.6666666666667
"20101",-2.67593789544462,-2.58,"ok","AVD_ATI","0.576497078074365","0.52507910886314","0.52507910886314","0.52507910886314",7,18.8571428571429
"20102",-2.27955637810012,-2.58,"ko","AVD_ATI","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",5,25.4
"20111",-0.23655826432972,-2.58,"ko","AVD_ATI","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",0,0
"20112",-2.27379769212118,-2.58,"ko","AVD_ATI","0.569794606651495","0.525374025113182","0.525374025113182","0.525374025113182",8,30
"20121",-1.99722808662444,-2.58,"ko","AVD_ATI","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",2,9
"20122",-1.63697492151749,-2.58,"ko","AVD_ATI","0.576497078074365","0.52522940108566","0.52522940108566","0.52522940108566",12,20.5
"20131",-2.05697311021184,-2.58,"ko","AVD_ATI","0.576497078074365","0.52507910886314","0.52507910886314","0.52507910886314",1,1
