"DRQ_CPE","CPE_DRQ","NBR_CLB","OII_CRK","PTEN_INT","CRK_OII","CRK_HLX","HLX_CRK","HLX_OIS","DRQ_OII","NBR_SM","SM_NBR","CPE_PTEN","SM_BOOM","CPE_NBR","NBR_REX","RES_NBR","DRQ_SM","NBR_HP","HP_NBR","CLB_NBR","CRK_REX","SM_REX","DRQ_REX","INT_HLX","HLX_INT","OII_HLX","BOOM_DRQ","OIS_CLB","HP_CRK","PTEN_CRK","NBR_CPE","HP_OIS","OII_BOOM","OIS_PTEN","BOOM_OII","HLX_BOOM","PTEN_CPE","OIS_SM","BOOM_HP","HP_BOOM","NBR_RES","DRQ_CLB","SM_OIS","SM_OII","NBR_BOOM","HLX_RES","RES_HLX","HLX_PTEN","PTEN_NBR","RES_CPE","CPE_RES","RES_PTEN","PTEN_RES","BOOM_CPE","PTEN_HP","REX_CLB","HLX_CPE","CLB_CPE","CRK_INT","HLX_SM","INT_CRK","OII_SM","HP_HLX","HLX_HP","CPE_SM","CPE_CLB","CPE_HP","SM_HLX","DRQ_CRK","REX_DRQ","DRQ_OIS","HLX_DRQ","REX_NBR","OII_NBR","PTEN_SM","RES_CLB","CPE_OIS","NBR_OII","CRK_HP","OIS_OII","OII_OIS","REX_INT","SM_HP","PTEN_OIS"
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
96.6133067544769,96.6133067544769,96.9195411429084,98.8121259387854,95.1368013072566,99.9175418896259,96.5400344878594,96.5400313843767,102.214119208157,103.684966298043,102.680173400002,101.096532803986,95.9862794405371,100.880579901602,95.287528870858,99.4125056034792,96.6594931292271,103.396731634475,94.6709111482536,94.6709169925222,99.9555791968596,100.477322298795,100.49669480413,97.1105516501851,95.8736138497323,95.8736257389364,102.450751323241,101.882948656963,100.381197120963,93.5978799067184,95.7925858007932,105.622329139137,99.122185290869,99.6471023947274,98.519055238676,99.6458708255656,97.4314030842615,102.351763698644,98.2387702464163,94.4910889240814,94.4910250098009,103.320437668562,96.8970379270744,100.074209754816,101.167707903634,99.7797673407652,100.868922054746,98.9985062444694,100.744398984935,100.011399504534,102.128426908569,97.6845184750429,99.7687255157332,100.105209843281,105.318647864533,97.7189435606324,105.588569524988,103.122677297672,110.558134943541,99.2713260472643,99.7843853181088,99.2713514475011,107.581489244298,96.9419559345158,97.6714194026344,92.2882986815611,102.77199260976,97.4498751889908,106.397629711746,101.827537095772,102.627611910954,102.846764691812,99.8153069958258,100.384647547225,99.906734608103,102.272652786078,101.633237315853,98.9585808208719,100.055630910963,93.5978493198879,95.5261147864986,104.613273915512,97.3555829885023,101.418842799123,98.5190666166185
107.489383930513,108.026043129657,98.5626608634485,93.9556948654922,108.171426145995,105.645880179574,96.1858583613992,96.1858626089536,105.428981636123,102.762221373523,100.271158145499,97.7570680890958,96.8311774511207,95.6300508143886,95.5317841784672,97.710310704649,89.0721453635017,99.0081776117745,93.6636710270204,93.6636853530181,101.650171666241,97.1010601079463,95.5088613559652,85.2106070737796,105.199479611464,107.824006690426,97.7387052476905,115.247759056122,91.7831818522316,93.9766074938356,96.5199511850881,107.667996688214,104.852618170939,91.6693306620532,92.3321412304492,107.698010818282,93.828900021086,101.128545996671,94.5565202017148,91.7133854007905,91.7134039524486,111.80946274965,106.024760029957,96.3231443369353,104.219249214286,97.7158781736867,107.244648803402,92.8091918911039,99.5489719125272,100.858056700372,93.6276565382128,105.962940201056,92.5711667474788,107.640116209732,106.233247068661,97.3216507817194,105.090031254973,104.103346884616,112.353232967632,109.465883674282,104.575133273635,103.104913763421,104.231293577567,97.5466243158174,98.2806736189545,95.599314601796,102.574932766595,98.6633599226772,108.46010729591,92.3343603602349,115.642890991167,98.6546134875236,115.808934915933,101.645587610824,93.6374466033113,108.033385775738,92.0160251505836,106.377582133942,106.531017457068,93.9766040411902,94.7738539663001,105.180714817647,98.4552882920819,103.70914138043,92.3321331265876
113.150483045568,108.254741163796,102.436382200504,96.14702083063,104.63799292452,117.932298324368,108.427800014628,101.251759942948,103.634428921204,99.3690639585208,100.791352733574,98.0644208163103,93.4928689099897,96.766236750016,92.6541618125759,88.920375829417,87.1353618559531,95.2974111918538,96.2076329394575,96.2076240821478,110.071433942086,86.1129900992964,87.1579503656095,74.9029046413786,105.822770446024,106.611689352868,95.0020660595033,132.492738238347,90.0737351989141,99.0050108636324,99.3647768701869,116.674218245014,109.332469996053,92.3423015390699,92.8221059080218,105.876173990406,97.1695007705105,104.399903736192,95.0676306020421,95.008690544249,95.0087021163457,114.025717534423,99.5501429559936,96.8438273956482,104.660061905693,98.5332026409257,112.211412194042,88.3324827080126,101.75861746874,103.918137259639,94.2352380944673,104.822700870092,90.2030306521231,110.228251237877,111.618394659951,99.5345765604695,103.433905497569,122.80938789794,117.420854941986,104.262072018135,109.366550730818,111.616652127606,103.614300796871,97.5097068594867,98.2434685506791,92.3539646464047,96.6696064190186,93.1005958551058,105.916748395837,91.4871752171231,130.365385991314,94.3353711798299,119.42361820102,117.959533815157,93.4281089789277,107.938187507516,87.4439903051905,102.085772313519,106.578781309023,98.9136859070851,95.7591590084051,103.913764513035,107.570220473719,106.073808570059,92.8221024400809
125.096707036162,106.503104339957,110.208485522465,97.0988811627586,106.360952347127,123.398810271521,109.763066252175,98.492782667411,108.264638184844,101.895322562721,106.331791778731,98.9081923913159,96.8245977096268,97.2448096349089,96.1855175811411,89.3596690158355,81.9000245197657,99.5216640855233,98.0555140208206,98.055547843814,107.123269108616,87.9250914526091,88.2768806020466,79.340338771924,104.970107317911,107.221859987897,98.55411879737,125.510365779688,94.1784773392603,99.1455429313122,97.7977510058622,116.564305798913,109.432407539286,94.6272533426047,94.4614287445871,103.033974217271,95.9385271625218,100.460146629759,95.983161355008,96.5038480021485,96.5038394388962,120.758234202263,107.589740352045,97.7764639293508,102.689125411896,98.1670158605841,117.666382844293,83.7333992678876,100.495872458258,106.44588660802,85.0177445547758,115.2342275457,84.5130779778762,116.924024164909,107.229808738072,101.190325249858,101.099171260461,135.40958976815,117.911468956202,107.645027082408,117.139931263882,114.630573348459,105.422817613381,100.288581273226,103.648653784665,95.0294960641954,102.846587891776,94.8073065084849,107.841590138866,94.8533635005834,135.317499025228,97.3653797054177,112.011157021022,121.718847603415,96.0083304050133,108.620796203105,84.1956265585558,103.693925545746,103.755771388395,102.753243716681,94.95591664985,104.471350969143,106.274225209685,108.527740927176,94.4614225766194
