"TBBK_AGO","SBSI_PIPR","RNST_BHLB","SFNC_PRA","SFNC_HFWA","SFNC_HOPE","CHCO_AEL","CBU_HMN","PPBI_TMP","TRMK_WT","NBTB_CASH","TRMK_HOPE","EGBN_PRG","INDB_TMP","EGBN_BFH","WABC_FBNC","INDB_WABC","PRA_OFG","GNW_ABCB","GNW_FBNC","WSFS_COLB","BANR_WABC","WABC_BANR","PIPR_TRMK","SAFT_EZPW","BANR_UCBI","BANF_BRKL","BANF_GNW","NBTB_HAFC","OFG_BHLB","CBU_HFWA","HAFC_BANF","HFWA_SBSI","PRK_TBBK","TMP_AVTA","TBBK_PRK","WABC_AEL","WABC_HOPE","WABC_TMP","DCOM_HMN","INDB_PRK","DCOM_FBP","TMP_STBA","LKFN_NYMT","STBA_TMP","WSFS_FCF","WSFS_HTH","WSFS_TBBK","HTH_BANC","BANC_HTH","HFWA_UFCS","TRST_EZPW","EZPW_TRST","HFWA_EZPW","PRA_CFFN","NWBI_AEL","NWBI_PRAA","SFNC_TRST","EGBN_STC","DCOM_LKFN","HOPE_CASH","NYMT_HMN","FCF_HFWA","NWBI_FBNC","RWT_PPBI","FBNC_NWBI","SFNC_HAFC","SNEX_BFH","SFNC_WRLD","FBP_ABCB","ABCB_FBP","FFBC_CVBF","UVE_CBU","CBU_UVE","PFBC_PPBI","RNST_CBU","INDB_WRLD","STC_PRA","TRST_NWBI","WSFS_NBTB","WRLD_ECPG","PIPR_HOPE","PIPR_BANF","HOPE_PIPR","HAFC_SBSI","PFBC_FCF","FCF_PFBC","EGBN_PRK","EGBN_RNST","EGBN_BRKL","TMP_BRKL","SBSI_CHCO","CHCO_SBSI","CHCO_HMN","PPBI_FFBC","FFBC_PPBI","WT_OFG","TRMK_RWT","CASH_UCBI","WABC_UVE","BANC_STC","BANC_CFFN","SBSI_SFNC","EGBN_WRLD","STBA_BANR","CVBF_TRMK"
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
99.41797105065,106.161497461339,96.9991352740966,100.224419331445,99.8304718079096,100.62899965956,94.7723112566778,99.9739776899139,100.722725127732,115.558580988469,101.579021359522,103.815760573072,96.1594904096525,107.976564690328,100.07792938994,97.2318990083464,107.40158902256,101.500727572046,103.456824872129,96.1454972533581,102.7683708549,100.669764501965,101.928669904278,108.58640425697,120.961751775231,100.812400053313,106.656703336942,103.483402343897,104.633926862846,102.216162931318,102.041828979783,97.1325635558076,98.5896459561946,109.43164576384,83.2310353148788,100.882918720564,96.1483236758196,100.499404541992,103.054706597675,99.8131368535191,99.0742885283409,90.4419946013967,100.284849215744,95.8788734462795,99.5335465560239,104.82195392268,96.8071689701658,104.131563132873,102.33104936497,97.597158696318,101.481964737214,123.072594132193,103.785149750464,120.990017640493,101.030054067669,108.282140672189,103.982058840979,104.100741960472,103.944984174975,98.4511801041659,98.6875049616659,97.2109023861923,100.302037527543,102.039531756008,102.984025672459,97.6074791464967,108.860708370678,102.193829907167,96.7011232626764,91.8002943486309,104.97354304261,106.665225084165,198.67461387162,92.1066185945762,100.783074962729,97.0437055005535,111.692388105117,95.4219033746264,99.7748965171063,107.988499430838,106.17941815938,103.919557292733,98.0941025590879,103.603076057675,98.2549641099635,98.0375717468587,101.842454785187,100.597346190525,101.436832793526,98.1457103301504,97.2569864412106,105.725077959997,98.3136902734551,99.520264260629,97.9453962101779,106.213348720978,83.6749668735219,103.490296852947,96.2374578394639,89.9547995353927,95.3313893203934,102.8882942091,99.8822101890607,94.8835549213075,98.513431604125,95.066995716897
102.105262737343,115.396657568908,104.532425654547,99.8676878263283,97.7909683852408,93.9543629702554,96.7818487168182,100.05681369885,101.052581230637,101.172934037483,112.739381849359,104.659594595364,87.634551443756,102.295603299155,94.6329186583054,99.3715954836173,104.515881209357,92.4636525094537,98.3726284560091,95.0131482254734,99.7066751831533,102.135078172317,102.979457182526,103.659955858231,122.422880603759,100.048054989302,112.321313439461,104.730035783645,109.210919841495,96.5432497593208,105.882187854455,98.7124670088819,97.2606622604419,111.374214224347,88.600421460549,101.421945907245,95.3878748635636,97.3198577625149,106.097942345392,105.393517416861,95.9272297547311,107.585025718409,101.217110988837,89.4635866988154,96.8010871294108,103.229320459482,91.1460566831648,99.9074886241853,106.586847109269,94.6154680987814,106.378332627953,121.026404469075,104.750892293161,119.592699066887,97.2597659503535,116.675235270872,104.126712270615,110.236701294176,100.014617044468,99.2146014540563,101.675467980641,92.3583512314071,109.708512931092,99.6825253606294,97.1181285696231,94.3737052574926,109.974826216302,103.89392296572,92.2986384119786,99.9436177771316,94.8662744231171,112.013530422512,260.829043870964,71.3090528896888,105.608104527599,101.161866221522,107.68931561338,95.3591344598126,103.17387453571,113.236744365162,103.206777198112,104.598368111756,92.6603723662378,104.27981857002,98.2959843145675,98.827386624939,106.974890782155,93.2060784696249,93.9636216108526,91.7100509520471,105.402772982312,105.722890266491,98.8200478928702,100.637765147195,102.598488762586,99.0347520274597,68.5330359813193,106.220029795786,95.8105870955833,103.829883483339,93.9292906258899,106.521938573822,96.7754103437069,87.6411416716843,97.9351396382949,97.4354152188976
97.6571987319657,120.61139894251,108.516275583742,100.882631864594,99.8528139981046,95.4748906601511,98.795816593583,97.3756354402106,99.5614393173359,91.6470988693801,120.794431985068,110.41050204915,84.9118157382877,105.010611774633,89.4939681379196,97.9651636265376,103.988102650699,85.7594910886771,100.306486809131,93.0100545946911,98.8130290679918,106.572126358283,110.556965117684,101.963471690828,121.042015771378,96.0236965041167,116.816804852793,104.857750328853,112.512064484921,89.7316871223299,103.99349026386,99.5327077779466,90.7366696632057,113.726690699334,85.7799859513756,104.151553399072,99.0068141290448,106.085025680941,113.422058096731,100.974266849655,96.5336751970236,101.679265459407,105.019612131434,88.8402391188287,97.7283290491319,101.627221022673,86.7014971048613,97.1916182398033,99.4859174199819,98.8795664052258,106.910878581615,123.533111275343,101.636118111388,114.411814728187,94.9954191976419,125.199910052536,110.447675607147,105.594315615756,101.213967925279,97.234907665639,99.3453560783887,88.7594030429664,120.335959920655,100.896758403202,93.6585436954326,95.5232547759551,106.976189716171,115.317659490113,90.3260162206696,93.3320687052773,90.3483312381876,108.19349657659,262.369371783869,75.6225680219003,109.082063378525,98.7749376654062,107.383984110532,94.998590244745,102.332913581668,111.18446642227,102.231611799905,104.008090069826,91.6903595668732,106.614433284506,96.4431457934726,96.3397887459054,112.572057533661,91.9104311769795,93.3246046517804,90.9461460410722,111.337420206949,107.14772671935,97.4168876730105,102.78581256976,101.630891516382,99.7455677149094,58.8635618728518,111.955508530974,94.8344238710508,85.2215191092222,90.0870988444125,108.094250616725,92.3956850882633,85.5990466090997,95.9521087360248,103.165143214037
105.249675974227,113.521825201271,117.210941612826,101.335997470656,100.407032644784,105.315280641832,98.251639777205,100.634334653295,105.196830597773,117.111350925292,120.295841894508,100.601664936471,82.4224115088415,109.032185930068,86.7486241975598,100.306418234351,108.259459810517,86.5024194884369,101.450621104236,96.0057099619314,101.035442247516,104.101160617076,106.86712685822,109.203894121761,112.483003014237,99.4942737061009,111.59935308822,105.178373374767,114.351390373725,89.1495391488718,109.16116599063,99.4920303548835,91.6931555670859,108.847240779155,87.111747048299,99.682921103734,95.9097575358228,109.585281407234,113.446398311163,98.6314396205401,102.308946343226,118.406828931579,109.529173575125,81.1234756362353,99.6321760571698,98.3912455555815,90.5035814941554,98.7206104329763,96.7444881376946,101.485465077844,106.34771854581,127.872527737872,104.155650024215,109.155063744484,95.6162993135193,125.039063855008,109.549403779971,107.640444623383,102.687480637801,94.0379675706404,93.3065386918135,81.8356384506381,118.50129620897,103.813364091595,94.0181294056966,94.7036692204698,108.369378424844,110.10601474503,95.6347109431314,81.6028638749464,95.0135771477449,110.289310649945,429.048886237613,73.2927472152277,102.385558485132,105.371313671854,117.009835110884,94.7854521072637,102.232318245486,108.752177517391,109.774045461661,101.541304009775,97.1246096219513,104.085835855919,96.9480853225912,88.1165275379577,116.320763148756,93.2868209140777,94.4813320429387,87.2703402596752,107.107392524999,106.943246949076,97.2309666917774,100.199694957377,101.067534031429,115.103982242857,75.8534519139033,114.714812018872,95.6985830715642,64.263911992806,91.5704596162834,106.735831807355,94.1149359600973,91.6925729197361,99.31401088632,100.347338551592
