"TDS_SSP","SSP_TDS","SCHL_SHEN","SHEN_CCOI","CCOI_SHEN","SHEN_ATNI","SHEN_TDS","MCS_CCOI","ATNI_MCS","SSP_ATNI","ATNI_SCHL","TDS_SCHL","TDS_ATNI","CCOI_MCS","MCS_ATNI","CCOI_ATNI","SSP_SCHL","TDS_CCOI","CCOI_SCHL","MCS_SHEN","MCS_TDS","TDS_MCS","SSP_SHEN","SHEN_SCHL","SHEN_SSP","MCS_SCHL","SCHL_MCS","ATNI_CCOI","SSP_CCOI","CCOI_SSP","ATNI_TDS","SCHL_TDS","SCHL_ATNI","ATNI_SHEN","MCS_SSP","SCHL_CCOI","SHEN_MCS","SCHL_SSP","ATNI_SSP","TDS_SHEN"
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
103.917083520429,100.293437382943,84.9149993735083,93.4575281937798,98.4033474627848,91.8973733241899,85.2395453639481,120.578180077914,101.824430763443,105.065456994076,105.689610502022,105.457177335511,98.9572546507855,104.818642831012,107.129189534333,101.687975600331,104.242828493989,90.7450596633738,109.708506782973,107.035041051081,104.841258395667,101.120598582925,88.7335135269978,84.9150209941001,88.7335204209987,106.036643545969,106.338729090449,93.2192616524983,98.4002288431058,105.165143059376,102.414850620377,105.469781894991,111.90712514787,108.60146411384,100.887146117947,114.057037737245,89.035877537706,108.441466878937,97.2701581059922,116.698317160417
108.08290364398,101.984018628784,95.6314329137464,85.2968620497326,91.3716935624832,104.138146422038,97.8260263791268,160.601604516552,96.5174256507441,105.469739794591,104.990678934756,109.390544785354,102.150356608237,89.1177614488739,101.545701723532,81.7842824735364,103.977841499505,117.54737452821,88.7328189138918,103.826307712561,102.215585004076,106.807598671368,98.6556760608328,95.6314939946149,100.153395176838,101.155306593352,106.8675204783,74.9731864685477,79.4234081505619,84.883667569799,103.727594881836,109.957766808538,111.392301265867,95.4097436010132,102.93566082285,161.631782913817,95.7214231878656,112.060529692017,96.8712560465137,101.132804295594
106.577155807976,103.94273784716,93.9741565134407,86.2440418935605,90.2979138943328,103.887821071812,93.3885415830354,157.077412276894,96.1964533451391,107.920565221133,103.327942919469,108.076670582165,97.6813565931316,90.2949127927988,101.208024274786,82.7368806888872,104.716180090351,114.070578575893,91.2342172594382,103.319353328946,106.442889925302,102.203450122219,96.1962799735659,93.9741782601869,97.6566764097167,102.356322188078,115.542115384458,75.8464469890535,82.1966414735321,87.8475560316536,99.1896320451867,112.763046365892,113.08087885264,95.1021638461687,105.02359673671,167.015645470821,95.2540153590071,119.390124762944,94.6379766633803,103.85929582891
109.652814175428,98.114621931318,86.4584563830798,87.9641674141842,92.0989064184103,101.381952112312,90.1223403921873,168.572590419554,101.27290649903,111.363825686956,97.2821537598036,113.290628000924,96.4728089867212,89.2257548426082,106.548977782027,86.309508318354,98.7308296424344,107.215265876105,100.994074347442,117.95022515755,107.733596385783,95.5616222249345,90.1349764927354,86.4584845003914,91.5033354785429,114.434650378164,103.7763735115,79.1215616769519,76.6286469994918,95.4355802407531,97.9623748630146,108.61714227066,116.165745663126,97.1039987012304,115.191896389932,155.817668010842,98.1623777087296,120.644254596063,90.8335232977459,99.7231903481324
107.02138514349,100.463829452703,88.6436210442474,91.0636043156877,92.2467793265602,114.954278224427,89.6893637864488,163.001636187788,94.6995398135837,124.64901619466,87.3852732401399,110.021967680028,84.2776683210231,86.2770193085243,99.6331213407114,78.1827026321087,98.2241940334564,102.379162431047,101.902132443096,110.145393649452,100.277440601043,88.9478591865207,91.9128228858806,88.6436503684089,93.3081884771379,109.816101664929,99.4472512128744,71.6715774786119,75.0069275228349,96.7396322341228,85.5789405023738,111.709662014084,113.155867579826,84.8247425336995,126.052842940151,153.257865723354,104.805829258162,121.158302122513,81.2785654433679,97.2625118180937
