"CWT_SJW","SJW_CWT","MSEX_SJW","AWR_CPK","AWR_UTL","AWR_NWN","UTL_CWT","MSEX_UTL","UTL_NWN","NWN_SJW","SJW_NWN","AWR_AVA","CWT_AVA","CWT_CPK","SJW_AVA","SJW_UTL","SJW_MSEX","UTL_MSEX","UTL_SJW","AVA_AWR","CPK_UTL","AWR_SJW","SJW_AWR","AVA_CWT","AVA_NWN","AVA_UTL","CWT_UTL","AVA_MSEX","MSEX_AVA","MSEX_CWT","CWT_MSEX","MSEX_NWN","SJW_CPK","MSEX_AWR","AWR_MSEX","NWN_CPK","NWN_UTL","CWT_NWN","UTL_AWR","CPK_AWR","NWN_AVA","NWN_AWR","AVA_CPK","CPK_AVA","CPK_CWT","UTL_AVA","MSEX_CPK","CPK_MSEX"
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
103.242217581453,101.708964570294,104.877537808114,97.7798947156246,100.233652278753,97.65661291607,98.4897786810963,95.8201957795662,98.032070962931,102.517575600625,93.3884624955638,98.2683098936216,96.529329575941,96.0799375701751,93.9593789364388,95.8715587850462,102.483735325711,99.1871749692212,101.528928432494,109.158128043197,102.440897173449,108.283721836885,103.428373685649,104.491817602559,99.3469662215521,102.020251267483,98.4897427917822,102.552599404476,93.9546683423627,102.469704920472,103.21616920859,93.3793114835535,93.5193447389875,98.3550649160096,101.376041602941,100.177487627248,102.66586231677,95.9280488766729,105.245949788108,114.046082482184,100.604456272875,106.55499677254,99.5434344153231,100.343160357397,101.918988132115,100.96114291319,96.453899359154,98.8551506498641
101.528802829006,111.331339222474,101.284646472615,104.790479060899,106.898741892583,93.2170388621828,101.621971137512,100.564442482079,96.5198809555229,105.252989682723,95.7687646913174,106.567201198848,99.4370664528629,101.460293368241,102.552619918686,102.103043288035,110.177635262532,111.103484904563,97.2839459422397,109.840346072498,98.2380178435973,120.533704308474,117.783107805917,101.254984379482,95.6195379607141,99.6582876666686,103.726126851041,99.3557989681651,96.7950158869555,107.951069393609,118.28352825642,92.598897499645,102.196362064357,106.653807003698,108.285171585572,103.002496954031,105.724341616219,95.1581056681423,109.360046294505,115.373101536476,98.8391519778673,104.584424406648,101.277685657917,98.4809581135312,105.07523301152,103.262369697256,101.11368561028,115.288703830091
98.6417177415288,109.328648487239,97.7236999484011,115.708848759751,104.649701882754,91.6015040055947,100.018803179978,98.2498755271298,96.7212154183769,109.729793261296,97.1344671985339,104.018211285677,97.5469684729408,107.035832344654,105.19606010216,103.228191452375,106.304020336663,108.546370587607,100.079737472226,114.445522473442,95.013313957862,116.532559113429,120.402145493004,103.126604004204,96.201752718263,99.9410116792074,102.089739879619,109.429399392519,94.2452130492611,107.144057296252,117.399241204007,90.7578673916293,99.8090365339802,106.343449887236,107.970034157675,99.9045833154533,105.365272710651,93.9551330416912,109.176055226716,113.774884677564,99.4410143833148,102.771872057894,107.742231849608,94.882827779521,103.151771465127,112.1676530718,102.091012627293,127.87636117846
99.8375877953748,106.976162395399,100.812014344907,135.069437881371,104.249657281895,91.4121251548513,114.499851030032,97.1810312765162,95.9848440191386,105.334704656903,93.2438415140172,101.789538578601,104.4148387836,106.774336386905,98.6382437995166,98.9075886426498,109.663516089175,107.365443886564,96.6576058217091,117.444658553375,95.2126413956461,121.044810393448,130.621604701556,101.157747505293,98.0155490892154,101.711480071269,114.21591095537,114.197453915334,91.543699789008,102.277073576808,112.066467013277,89.9613723215134,104.111264295626,105.58078585481,112.252065200589,100.199806811736,112.942678280044,104.507440680465,108.758726675925,114.16649998464,101.315855903084,102.559384182717,116.763444595285,93.3188575425628,99.6265000097747,114.442288522213,110.450259145756,129.129918045566
