"TG_BCPC","MERC_FUL","TG_FUL","BCPC_OI","CMP_KWR","KWR_CMP","HWKN_MATV","BCPC_AVD","HWKN_FUL","SCL_FUL","SCL_AVD","SCL_ATI","KWR_MTX","KWR_MYE","MTX_OI","MTX_MYE","MTX_CRS","ATI_MYE","BCPC_CMP","BCPC_SCL","ZEUS_OI","CENX_IOSP","ATI_OI","IOSP_HWKN","HWKN_IOSP","SCL_KWR","TG_CENX","FUL_ZEUS","TG_ATI","CMP_MERC","FUL_OI","CENX_ZEUS","ATI_SCL","MYE_IOSP","IOSP_MYE","MATV_MYE","SCL_TG","MTX_ATI","SCL_ZEUS","MTX_TG","CENX_TG","TG_MTX","FUL_MTRN","MYE_HWKN","IOSP_TG","BCPC_MERC","BCPC_FUL","BCPC_MTX","ZEUS_SCL","CMP_SCL","SCL_CMP","HWKN_KWR","KWR_HWKN","BCPC_ZEUS","BCPC_MATV","TG_CMP","TG_OI","ATI_IOSP","TG_SCL","AVD_CRS","AVD_ATI","ZEUS_MYE","MATV_HWKN","FUL_CMP","MERC_CRS","ZEUS_CMP","KWR_BCPC","BCPC_KWR","FUL_MYE","FUL_MTX","MTX_FUL","MTRN_CENX","CENX_MTX","CENX_MATV","MTX_CENX","OI_AVD","AVD_OI","SCL_IOSP","SCL_MTX","SCL_HWKN","SCL_MYE","OI_CENX","OI_FUL","AVD_CENX","CENX_AVD","OI_MTRN","TG_MATV","MTRN_OI","MTRN_CMP","MTX_AVD","CMP_CRS"
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100.932409202566,100.070410021883,98.8001400665125,98.3400071510891,100.284360951796,100.284350391236,102.274866648095,104.262547431295,103.493393248979,92.4631518931384,99.9697699822087,105.332433479188,103.013064794975,100.166171154829,98.8743290784469,97.1889662884133,90.5564402637991,89.8632343670273,100.028178120659,105.704305078869,107.824601851772,112.328853440448,98.0551749153506,92.7059198890436,96.0211712898263,94.8371315441782,112.777533142036,108.492241266478,91.5017424879655,97.6329019988523,100.493106352593,105.9324335422,96.0836061691644,94.8931144148373,94.2597564677982,89.924394953014,93.4473033410789,87.1803612514492,100.400203847814,98.3332784235319,108.026839499102,101.564702936372,107.648393060241,99.6282337730447,98.3958173475206,97.6746677133027,100.14851257671,97.3497641186717,100.400159451479,107.694413678763,94.7889043057875,104.569841082957,96.3851124803199,106.190673944438,95.5041894839033,98.8634343543788,104.917424885915,89.0038240510928,93.4472795050053,102.757564120352,106.619331629765,105.985451284878,102.578878035679,102.19924665228,90.7784907496205,106.136771140528,101.340771446246,100.33299759346,102.269017306396,99.464646450281,99.4646777824909,101.359250959984,109.790995773018,104.483008925885,90.780775398044,99.4018775391685,94.1456126853271,89.8406222313759,95.9383755601029,94.3698257682361,94.6165348097672,108.471309684298,101.703722780528,102.235504558321,102.235522173582,106.993529503599,102.656951938961,106.99352215054,105.315376377199,93.1923557242404,107.317409225512
109.472565932134,95.0688972241669,96.6097848760062,100.017536577876,99.2577611716988,99.2577741332066,117.644182124924,96.0953922235643,105.690090083211,90.5554872435556,91.1895736851616,103.14087727398,101.817337219449,101.570851181666,97.5691645001986,99.628194053547,94.7886063859211,88.8073132296988,100.310370615419,106.75618511785,110.519771662138,115.908945004554,100.639555925216,87.4220117427492,97.90577030429,93.2406303645328,99.7062681701031,113.281944841432,82.6078049943977,101.089790763805,103.195814112206,106.480030861148,97.8988901616683,98.5199764516169,97.8623657114706,87.6767381177221,82.6525442391878,88.4004141171821,102.720771424561,109.971599178436,99.3468486599541,90.3688629881783,107.704653675002,101.324061510992,111.578698249077,101.616114670925,99.1309757996564,97.7754056548476,102.720716645899,108.267511739022,94.1038930722298,104.139279980422,96.6233935710763,109.821860234094,96.6315277900468,88.0042598211765,102.941250203559,91.4438372336623,82.6525331532918,123.606306622428,124.043164298735,111.826879786583,98.1557274396557,103.5132907648,98.3688301585626,109.301650984024,101.792990669661,99.6498424357578,101.109165141708,100.875006837276,100.875040776025,109.69547158065,113.431961647254,98.654347300828,90.1501572809031,112.733087556918,106.771866389273,90.4967137103465,95.3539382199433,93.0238334959121,91.6926650461202,107.671275255799,98.8917150244291,141.427934681264,131.193864726978,104.099221447686,118.37621750549,120.728484135852,103.887393923803,100.531325989171,102.462491763659
118.569741994883,84.6482899322256,100.970574748164,94.5469446206235,99.4806422043801,101.520942427488,114.22839117845,97.2311419617914,97.4278709078255,90.0542938878504,89.1498601173558,111.504972816577,104.006345999599,103.034023125739,105.224947680233,98.9216187763684,89.4237748720462,81.5240055823116,102.422498636905,110.493652748949,126.419240175382,113.268939253703,84.8302109787875,89.8041069383352,91.2188250659477,94.1134274234859,105.884383464553,126.253605561693,79.7579415643637,111.226981383913,94.3470450106782,99.7496632310103,90.2830382783969,104.407374785394,98.8501243040878,88.5201862755598,86.4955838423264,80.6351422888234,107.56306757988,103.745758578951,105.502694298397,95.6702327047796,117.791286452533,109.580997145289,107.032057377708,110.692343421711,105.219294032046,100.011743737954,107.563007880371,106.800331367147,92.8286546736353,97.5002278969285,102.992429884305,119.09404927207,92.643823079511,93.2732339630107,117.44233729091,84.9007544007328,86.4955834956362,131.588236703667,111.966919077773,117.644231013299,91.4418572513994,110.783206676042,98.9342182931061,115.958911534729,101.836173476873,104.684671517654,106.223060703714,99.6509411528055,99.6509390046235,113.219868074556,112.892058512501,100.614357910727,90.4293322115772,110.38118201898,102.64501128729,90.948492654746,94.2171482418621,100.124891047933,91.1727608492258,104.881500541046,91.7068446372872,142.335822140658,131.749094357473,100.710431699852,118.724987760031,136.234759831497,106.826595787986,101.42422730013,108.468753751742
116.91319698748,84.4487600310049,100.947894177275,90.9889897439915,101.939895640407,98.9998344870487,114.311171442229,103.785834419078,92.0708833781824,87.6102868257213,93.9740952380518,106.333655318234,103.400859008404,100.004241339278,105.743689156024,96.5272464047959,84.7438397753271,83.4789962688753,101.146339623553,111.838625410251,132.992171222489,107.564730157993,84.3381994065333,92.146368446597,83.1582228616435,89.5168697550499,114.501679684625,118.957052125159,81.1493107881935,112.301507860535,92.0804775142544,88.9024137598032,94.3122262443715,108.593712312239,94.7697738494143,93.0164780733003,84.2346777369739,80.5775759751946,107.537372259972,101.715066671428,115.993120237853,97.3747932112648,119.271960572653,113.341486593624,103.108809542749,100.975011945819,103.6543494594,96.8250470438418,107.537321938955,104.118827578664,90.4979731048526,90.057656780672,109.614508919829,130.174885452598,88.6337422918155,93.1212294060153,120.190420690412,83.4366116744689,84.2346370091527,134.075429235575,123.405409960986,120.129230439766,78.5532908384004,115.177989830729,94.4725812628672,118.880834003089,98.0894610026288,108.56568334431,104.19567617447,97.8596184243578,97.8596404963465,104.945545952058,105.405717060583,114.884038599021,95.9124454445256,99.4112796739288,92.4439489361506,85.3929849137228,90.0580762728899,101.379763988419,89.2662806491891,110.599996967974,89.5037227066361,126.510484998869,111.634942799645,99.1273134103502,126.023892277658,137.984932012677,105.607477252627,91.8631622681783,107.946628690772
