"SENEA_SPTN","SPTN_SENEA","ANDE_CENT","SPTN_VGR","VGR_CENT","SPTN_UVV","WDFC_MGPI","WDFC_FIZZ","SENEA_MED","USNA_JJSF","USNA_HAIN","USNA_UVV","CENT_HAIN","UNFI_MGPI","SENEA_CVGW","TR_FIZZ","TR_WDFC","FIZZ_MED","UNFI_SENEA","SENEA_UNFI","VGR_IPAR","NUS_UVV","UVV_NUS","SPTN_FDP","UVV_VGR","VGR_MED","VGR_UVV","SENEA_ANDE","SPTN_USNA","SENEA_TR","JJSF_IPAR","JJSF_SPTN","JJSF_WDFC","IPAR_FIZZ","IPAR_JJSF","IPAR_NUS","SPTN_IPAR","IPAR_SPTN","MGPI_CVGW","CALM_HAIN","SPTN_CALM","CALM_CVGW","CALM_VGR","EPC_MED","UVV_SENEA","JBSS_CENT","CALM_TR","CENT_JBSS","HAIN_IPAR","EPC_JJSF","WDFC_UVV","UNFI_SPTN","SPTN_UNFI","FDP_USNA","VGR_JJSF","SPTN_CENT","NUS_VGR","FDP_PSMT","FDP_HAIN","TR_ANDE","TR_MED","ANDE_TR","TR_UVV","TR_PSMT","ANDE_PSMT","CVGW_MGPI","FDP_WDFC","JJSF_ANDE","EPC_MGPI","TR_USNA","CALM_PSMT","NUS_UNFI","NUS_JJSF","CENT_MED","IPAR_MED","MGPI_SENEA","SENEA_MGPI","NUS_FIZZ","ANDE_FIZZ","FIZZ_NUS","JJSF_JBSS","JJSF_PSMT","IPAR_UNFI","TR_IPAR","USNA_SPTN","IPAR_TR","MGPI_CENT","MGPI_USNA","MGPI_FIZZ","TR_NUS","TR_CALM","CENT_UVV","FIZZ_UVV","FIZZ_FDP","WDFC_NUS","CALM_ANDE","UNFI_PSMT","UNFI_VGR","CENT_MGPI","IPAR_HAIN","HAIN_CVGW"
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
86.3875718334598,113.763593088065,95.2282439666023,119.289601150304,98.9716059824079,110.952332120876,103.9195281422,100.386297614335,65.0915203265605,98.1384756792195,93.3224218728774,96.3932574044301,99.1858594100907,97.7134532127933,99.3457310556824,102.125960492407,99.0915675371846,94.6964901268051,94.4721069175797,94.4721069175797,106.856604596987,106.907091503121,94.6871893824089,115.425007437289,96.5942569762991,142.437766050567,101.765589748434,107.205095406385,120.289314795847,96.8790592181981,94.0119896967524,86.1563772739406,95.6883104807608,101.143723567757,99.3113380046846,98.779218563248,125.421599317138,91.633913322531,97.1932666705863,102.663962767507,115.641728830993,102.695784073428,98.8748563559205,143.87398211658,102.29355726415,102.114604459687,100.153465932446,98.8434054466197,100.28121631363,98.0345148758964,98.4889883325893,87.492029766084,112.565031805674,92.0905981934689,110.904311097805,113.187245643203,106.097640900899,100.865439383313,98.5800401501999,103.731743272055,67.0164395736634,95.8378535527734,105.404625542952,102.899714291162,91.4064371215608,97.1932598188879,96.4985662071528,99.9272970373135,101.732314576978,108.432102974158,105.019269515565,106.265632214318,111.142426490113,144.15040948007,144.999179128842,102.869694739886,96.6030321748115,102.907133535189,94.984408511577,105.136867646602,93.3738135140004,91.5662828695827,104.518841364452,103.522049831618,129.475388600469,101.96993013781,104.198288129954,103.360070944028,99.5906602691789,107.421351585929,107.622572344194,102.793971760605,108.517355220599,104.590532483416,105.875312871394,95.8795266744514,95.8060061372408,99.1718731159959,101.901739266278,99.5422720336171,99.9289170604581
98.0207769188136,102.219734491353,104.135422447826,107.657256088911,103.882473518018,104.964996564738,103.454475893681,104.081092748864,77.5943735230203,95.5785866997309,87.7683277836342,86.7441633889925,97.0551472060697,98.8975717016259,111.145973683439,97.6307161645058,97.2530316822354,104.64024283828,97.8302900590687,104.244588754171,101.820409904998,109.121792262092,92.5679251046916,107.100941115503,94.0881733641104,117.157595583073,93.5423402859184,94.5873326747919,106.314451845685,100.144153739274,89.7321885047687,77.9696279207153,94.6262080138257,100.533121906038,94.7902953168044,96.9581612034088,118.574720361427,86.6315097023151,88.5240594502261,109.613620214938,98.9816689402187,114.750876339546,96.0575444064585,119.368615344392,97.6589623069678,98.8929727658446,103.508528378855,88.6787654512099,106.18519287327,97.513474427536,101.130596960108,79.5950176595821,105.672575953776,87.6411400012379,115.286714031559,104.127034929971,99.4526870107144,96.8795682953484,99.6713117773735,87.6416461871711,77.2448930525682,112.562454631152,98.0364705148104,104.772324266408,109.268934546278,88.5240763397746,95.0926798608646,83.9879707382368,102.876332048235,111.340152816394,106.471193953335,101.068725927744,104.699216262772,120.977044105373,125.197480419189,114.082977764622,99.1617381533578,104.457634888563,106.744750405749,107.730937475129,82.4107490154582,92.894304746751,108.190438241179,97.3801905434165,114.433346016702,106.027222421591,109.870934511039,108.774505848645,107.430323801254,101.392675586969,111.227860126788,96.306637010265,115.679811951467,108.744929071737,111.313224628008,85.6460700473266,99.9937681119553,103.535566883157,104.089702275064,100.07996977011,100.694244367296
102.698665830362,97.1625481916908,110.888452596194,104.177883054403,95.7087622132192,109.084105624199,120.697938139186,98.9907440202183,78.5365536370234,97.9362885797218,92.7887113356846,87.3785143897309,105.577955205668,108.93249531019,118.003944379918,96.9373273792748,98.712114302905,105.78051298859,96.4702446664847,105.414880779154,101.364739901442,106.708736417411,94.478430304665,104.065404901952,87.6240868878133,111.607771847132,87.1157553824694,92.7626096974072,111.293704404699,99.0285940546554,94.1584578952013,79.6368943115121,92.1533334109122,97.8991631758247,99.4660339701034,88.6004225383805,115.22175016473,84.1818286796353,83.9445410286445,103.541895862615,103.296288899528,102.185245504754,103.501799336393,126.271163463504,93.4868514613284,101.516524633893,99.4519015520628,92.2207567275398,106.77727076738,92.5983697917102,101.875154054406,78.2665398214799,108.808527700497,94.3764316766136,113.292713233744,109.170713669829,90.569775409083,100.873429619895,101.455530788227,85.5327614251188,77.442698359098,110.723207104066,97.4488044041077,104.069642363235,117.314399098984,83.9445506713391,101.619661802003,84.5297772268946,95.8911899078586,106.858281885928,102.94688248487,93.4399173634432,100.552532665016,125.075973577709,119.844646354195,101.457408648323,110.827577463703,97.9466720175661,103.430010046012,114.507898160229,82.3645312086892,93.5861677582829,106.791815993703,99.9894134528101,119.792867887211,102.345855848913,92.6800862230593,91.7552374190021,95.3710778839388,96.0100755272287,106.868641397696,100.88596007638,111.593184461159,105.898039757566,112.711346320932,82.5873004114808,96.9692500704827,104.934886126855,100.803344555932,98.1041356058686,104.937733820813
110.259342846473,96.5373228621536,107.064641502968,102.469714291673,93.3437383482239,108.399226657045,115.044943111592,103.364732809161,79.5845128745285,101.7766035429,97.0288163426535,101.069616188472,103.040969538603,118.420713135194,114.462088917723,90.1567803215809,91.9626640498825,104.87864709737,99.4198265939782,94.2071818581148,89.0940468130756,101.661006149568,98.5882525387829,104.467451344909,86.6097032727171,109.944691116436,86.1072365766001,100.858501669113,113.11643830357,96.8449172569453,83.5935457086319,79.1096618444166,95.3633263260044,107.222403553372,88.3056110432362,94.783666086402,128.465463729913,94.7552170014261,83.2900512507449,102.14866526288,102.628808046144,103.486268395987,104.673558856878,131.740689534815,92.3561837698904,106.332606855986,100.114309488059,87.7125506223103,121.078157476641,88.3151759852472,98.1958266033143,82.2752122929903,119.174977673088,95.5307326283057,112.000130793227,113.774972351037,85.3926952051715,102.044093199141,99.3709189354954,73.4744276650874,76.7696005818293,121.812785479448,99.0894558657703,104.911335407958,124.439821054617,83.2900726776698,98.567602610519,93.6655195655671,92.5283737742566,103.718276191272,104.924683333953,98.024872531745,95.7805296232712,126.137411446661,133.939480595951,103.640273316426,108.291108961969,94.1692683387731,108.510880203177,123.069620491678,85.1327192854194,91.4131613420333,121.379632809859,108.085399247683,121.754783635632,112.088394715765,92.2923631904151,90.3462725093258,95.4428307393669,92.4020288376953,119.613104858858,99.4325125584257,133.442310819996,105.865857494428,121.845996947496,73.6958874727183,100.791855970558,107.772362226468,100.381635710985,106.971679256474,118.920990393067
