"fecha","t","t1","Res_t1","par","hurst_30","hurst_60","hurst_90","hurst_120","num_veces","dur_media"
20061,-5.17685429413561,-2.58,"ok","HWKN_MATV",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,17,7.1875
20061,-4.86020588410232,-2.58,"ok","BCPC_AVD",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,18,6.94444444444444
20061,-4.7055813998611,-2.58,"ok","BCPC_KWR",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,34,3.72727272727273
20062,-6.11036594389225,-2.58,"ok","SCL_AVD",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,8,21.375
20062,-6.03265659137279,-2.58,"ok","SCL_HWKN",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,12,14.4166666666667
20062,-5.85157665864881,-2.58,"ok","SCL_CENX",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,30,5.63333333333333
20071,-4.74952400185001,-2.58,"ok","KWR_MTX",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,21,6.23809523809524
20071,-4.32455901990986,-2.58,"ok","ATI_ZEUS",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,7,28.2857142857143
20071,-3.91200076433497,-2.58,"ok","CMP_KWR",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,7,40.4285714285714
20072,-5.04460637000023,-2.58,"ok","MTX_OI",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,6,38.1666666666667
20072,-4.81649631952878,-2.58,"ok","MTX_MYE",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,8,36.625
20072,-4.77837374907209,-2.58,"ok","MTX_CRS",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,9,24.8888888888889
20081,-4.54215624313179,-2.58,"ok","ATI_MYE",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,21,5.66666666666667
20081,-3.72794385273619,-2.58,"ok","BCPC_MATV",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,14,14.2142857142857
20081,-3.64991591176743,-2.58,"ok","ATI_CRS",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,18,14
20082,-4.95200267901139,-2.58,"ok","ATI_OI",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,8,9.5
20082,-4.81719405712337,-2.58,"ok","IOSP_CENX",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,7,18.5714285714286
20082,-4.57102340649264,-2.58,"ok","AVD_MYE",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,19,8.21052631578947
20091,-3.8242364298238,-2.58,"ok","SCL_KWR",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,6,24
20091,-3.5643279152955,-2.58,"ok","KWR_SCL",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,6,25.6666666666667
20091,-3.50108530767463,-2.58,"ok","MTRN_FUL",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,6,27.8333333333333
20092,-4.36933456544212,-2.58,"ok","TG_CENX",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,17,9
20092,-4.01223318570629,-2.58,"ok","FUL_ZEUS",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,15,7.13333333333333
