"fecha","t","t1","Res_t1","par","hurst_30","hurst_60","hurst_90","hurst_120","num_veces","dur_media"
20061,-4.97465885584404,-2.58,"ok","AORT_RDNT",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,11,2.9
20061,-4.74325025947118,-2.58,"ok","MLAB_MD",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,8,14.5714285714286
20061,-4.28590527366691,-2.58,"ok","MLAB_OMI",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,10,7.33333333333333
20062,-5.12251597817558,-2.58,"ok","INVA_LGND",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,7,14
20062,-4.91858672310059,-2.58,"ok","NEO_MLAB",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,8,17.5
20062,-4.82945717526614,-2.58,"ok","ZYXI_AORT",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,20,12.35
20071,-4.72794528431759,-2.58,"ok","NUVA_HSKA",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,13,9.92307692307692
20071,-4.36765972385939,-2.58,"ok","MODV_AORT",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,8,7.75
20071,-4.29942823769494,-2.58,"ok","MD_SLP",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,12,13.25
20072,-4.80969233633698,-2.58,"ok","ANIP_CNMD",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,6,44
20072,-4.18551386007781,-2.58,"ok","HSKA_NXGN",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,7,11.7142857142857
20072,-4.17187329277108,-2.58,"ok","MODV_OSUR",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,9,21.1111111111111
20081,-5.13222287822206,-2.58,"ok","BLFS_ANIP",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,24,5.08333333333333
20081,-4.75466800117498,-2.58,"ok","BLFS_NUVA",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,6,42
20081,-4.58129899198739,-2.58,"ok","BLFS_MDRX",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,6,26.8333333333333
20082,-4.68750482435254,-2.58,"ok","MLAB_CCRN",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,13,6.69230769230769
20082,-4.60205679585307,-2.58,"ok","BLFS_OMI",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,22,5.68181818181818
20082,-4.37307193889081,-2.58,"ok","MLAB_AMN",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,15,9.13333333333333
20091,-5.24870277089751,-2.58,"ok","INVA_RDNT",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,10,14.7
20091,-4.64447843046006,-2.58,"ok","INVA_MLAB",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,9,11.4444444444444
20091,-4.63618559072883,-2.58,"ok","INVA_VCEL",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,13,13.2307692307692
20092,-6.08604394571441,-2.58,"ok","BLFS_ANIK",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,7,25.1428571428571
20092,-5.82332220479032,-2.58,"ok","BLFS_ITGR",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,11,8.54545454545454
20092,-5.8191615332368,-2.58,"ok","BLFS_NUVA",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,10,24
20101,-5.41368216767142,-2.58,"ok","BLFS_AORT",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,7,26.8571428571429
20101,-5.01180755901644,-2.58,"ok","BLFS_HSTM",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,9,25.7777777777778
20101,-4.61001269334109,-2.58,"ok","CRVL_NUVA",0.576497078074365,0.52507910886314,0.52507910886314,0.52507910886314,11,22.4545454545455
20102,-4.76608801696656,-2.58,"ok","BLFS_CYTK",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,15,8.66666666666667
20102,-4.3026024005499,-2.58,"ok","CYTK_AORT",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,10,13.2
20102,-4.27238014103338,-2.58,"ok","ZYXI_NEO",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,6,38.5
20111,-5.63399295116079,-2.58,"ok","CCRN_OMI",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,9,15
20111,-5.6221737448035,-2.58,"ok","CCRN_OSUR",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,18,5.61111111111111
20111,-5.6010933398503,-2.58,"ok","CCRN_CPSI",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,6,22.5
20112,-5.16173382821112,-2.58,"ok","BLFS_CDMO",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,16,8.5625
20112,-5.13998941729012,-2.58,"ok","BLFS_MMSI",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,11,11.8181818181818
20112,-5.10871146056423,-2.58,"ok","BLFS_ANGO",0.569794606651495,0.525374025113182,0.525374025113182,0.525374025113182,16,8.5625
20121,-5.52707531191407,-2.58,"ok","BLFS_SLP",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,15,8.73333333333333
20121,-5.48886125081499,-2.58,"ok","BLFS_LGND",0.576497078074365,0.52522940108566,0.52522940108566,0.52522940108566,15,8.73333333333333
